child	parent	length
n2466	n2467	0.0232
32062	n2466	0.11086
n2465	n2466	0.05641
27913	n2465	0.06886
34042	n2465	0.03697
n2552	n2553	0.03524
n2551	n2552	0.00428
n2550	n2551	0.01892
n2536	n2550	0.04374
n2535	n2536	0.00015
n2475	n2535	0.01686
n2473	n2475	0.00159
22545	n2473	0.01421
n2472	n2473	0.00015
2804	n2472	0.00991
5336	n2472	0.00989
n2474	n2475	0.00339
34494	n2474	0.03908
218	n2474	0.02527
n2534	n2535	0.00917
n2524	n2534	0.00015
n2516	n2524	0.00175
15192	n2516	0.02527
n2515	n2516	0.00014
n2484	n2515	0.00015
n2476	n2484	0.0202
27391	n2476	0.00737
32053	n2476	0.03441
n2483	n2484	0.00014
n2482	n2483	0.00016
n2481	n2482	0.00015
n2478	n2481	0.01844
21003	n2478	0.01832
n2477	n2478	0.00055
15715	n2477	0.03322
34304	n2477	0.01037
n2479	n2481	0.01304
27223	n2479	0.00648
36912	n2479	0.00014
6131	n2482	0.01623
9457	n2483	0.01303
n2514	n2515	0.01803
n2513	n2514	0.0057
24128	n2513	0.00917
n2512	n2513	0.01185
n2487	n2512	0.00871
n2486	n2487	0.00297
18688	n2486	0.00611
23778	n2486	0.04053
14161	n2487	0.03587
n2511	n2512	0.00014
19584	n2511	0.09962
n2510	n2511	0.00014
n2509	n2510	0.01071
n2508	n2509	0.0024
n2503	n2508	0.00015
n2502	n2503	0.01224
11886	n2502	0.00917
n2501	n2502	0.03224
26330	n2501	0.02616
n2500	n2501	0.01478
n2496	n2500	0.00629
9210	n2496	0.00684
n2495	n2496	0.0044
n2489	n2495	0.0005
6345	n2489	0.01169
n2488	n2489	0.00015
15487	n2488	0.0119
5830	n2488	0.01466
n2494	n2495	0.00532
22592	n2494	0.00875
n2493	n2494	0.00015
19542	n2493	0.00566
n2492	n2493	0.00014
21182	n2492	0.00889
28283	n2492	0.00595
n2499	n2500	0.00552
5349	n2499	0.01313
n2498	n2499	0.0061
30979	n2498	0.00772
n2497	n2498	0.04576
24827	n2497	0.00463
40738	n2497	0.02954
36050	n2503	0.01545
n2507	n2508	0.00907
n2505	n2507	0.00014
18	n2505	0.0095
n2504	n2505	0.00015
4711	n2504	0.01707
19176	n2504	0.02371
n2506	n2507	0.02905
10001	n2506	0.03616
39199	n2506	0.09655
5005	n2509	0.01219
23964	n2510	0.03435
39388	n2514	0.01229
n2523	n2524	0.00928
n2521	n2523	0.02592
n2517	n2521	0.04878
25763	n2517	0.07125
581	n2517	0.07968
n2520	n2521	0.01898
30789	n2520	0.01794
n2519	n2520	0.0089
n2518	n2519	0.04139
25223	n2518	0.00306
7664	n2518	0.01238
9085	n2519	0.04616
n2522	n2523	0.02509
21263	n2522	0.02931
33111	n2522	0.03734
n2533	n2534	0.00463
4200	n2533	0.00778
n2532	n2533	0.00015
n2526	n2532	0.0032
266	n2526	0.00977
40389	n2526	0.00977
n2531	n2532	0.00015
40550	n2531	0.00974
n2530	n2531	0.00015
13412	n2530	0.0163
n2527	n2530	0.0066
8057	n2527	0.00654
34158	n2527	0.00984
11319	n2536	0.0148
n2549	n2550	0.01421
n2547	n2549	0.00891
n2542	n2547	0.00015
28527	n2542	0.01155
n2541	n2542	0.00013
n2537	n2541	0.00989
37298	n2537	0.00989
4628	n2537	0.00596
n2540	n2541	0.00016
19479	n2540	0.01728
n2539	n2540	0.01462
24788	n2539	0.08079
n2538	n2539	0.01104
29977	n2538	0.00286
3147	n2538	0.00282
n2546	n2547	0.00568
n2545	n2546	0.00252
n2544	n2545	0.0082
38397	n2544	0.03326
n2543	n2544	0.0159
21629	n2543	0.02303
36774	n2543	0.06127
13598	n2545	0.01483
10066	n2546	0.01734
n2548	n2549	0.00583
14329	n2548	0.03654
24819	n2548	0.05751
3249	n2551	0.02852
2217	n2552	0.0265
15551	n2557	0.08928
n5763	n5764	0.03697
n5601	n5763	0.02088
n2590	n5601	0.01863
n2577	n2590	0.03382
n2569	n2577	0.00599
n2566	n2569	0.02999
22373	n2566	0.1072
n2565	n2566	0.02487
n2564	n2565	0.04251
n2559	n2564	0.08598
34460	n2559	0.0417
12952	n2559	0.01048
