primer	site	class	id	dist.count	hght.count	dist.mean	dist.standard_deviation	dist.max	dist.median	hght.mean	hght.standard_deviation	hght.min	hght.median	tree.to_newick
F04R22	ShellfishLab	pre	5625	3	5	0.073506667	0.017189233	0.08554	0.08116	0.950308305	0.097570751	0.813570687	0.937970839	"(11163:0.098211,(38754:0.097501,24333:0.114776):0.124400):0.813571;"
F04R22	ShellfishLab	pre	5633	6	7	0.0267	0.00650203	0.03461	0.02816	0.975531383	0.04309401	0.905758761	0.97267592	"(((4140:0.060067,29441:0.024947):0.022391,19292:0.063645):0.044526,22550:0.049945):0.905759;"
F04R22	ShellfishLab	pre	5640	3	5	0.028166667	0.001571539	0.02998	0.02732	0.976583992	0.052245453	0.920966719	0.961953242	"(32714:0.015968,(2288:0.069301,32268:0.069858):0.040987):0.920967;"
F04R22	ShellfishLab	pre	5645	10	9	0.026016	0.006681155	0.03409	0.026535	0.977290292	0.032310094	0.925851614	0.971241306	"(((8647:0.063225,19516:0.020644):0.000624,(21492:0.042046,10318:0.042536):0.022294):0.023096,29840:0.064072):0.925852;"
F04R22	ShellfishLab	pre	4992	6	7	0.02993	0.010038089	0.04329	0.029125	0.970218506	0.055370122	0.908011869	0.96110062	"((6749:0.053520,19643:0.026544):0.014405,(16046:0.112544,28289:0.040356):0.053089):0.908012;"
F04R22	ShellfishLab	pre	6068	3	5	0.069146667	0.017476271	0.0865	0.06939	0.920376495	0.128205681	0.738488934	0.945370135	"((727:0.218329,10374:0.109514):0.124905,13543:0.206881):0.738489;"
F04R22	ShellfishLab	pre	6096	15	11	0.025384667	0.007203488	0.03958	0.02752	0.958633704	0.055825884	0.892672152	0.969011974	"(((40522:0.075255,((23285:0.045106,15410:0.030071):0.029993,23448:0.152602):0.001163):0.014880,19368:0.075177):0.001163,8834:0.136947):0.892672;"
F04R22	ShellfishLab	pre	4517	3	5	0.09842	0.037334942	0.12555	0.11387	0.849266847	0.310559068	0.591926134	0.795110563	"(2350:0.203184,(12436:0.173753,9374:0.722320):0.062482):0.591926;"
F04R22	ShellfishLab	pre	4509	6	7	0.05261	0.014014443	0.07421	0.05251	0.888429372	0.165176143	0.738313587	0.875923264	"(5878:0.397660,(7280:0.136321,(16963:0.335300,26362:0.170624):0.001487):0.001289):0.738314;"
F04R22	ShellfishLab	mixed	3147	6	7	0.163625	0.074736247	0.27572	0.148345	0.870977052	0.234449862	0.643204194	0.771994836	"(23826:0.592429,((35291:0.365715,28843:0.145032):0.090354,3852:0.027989):0.038436):0.643204;"
F04R22	ShellfishLab	mixed	3538	10	9	0.175298	0.103008451	0.31217	0.144035	0.966273322	0.129536931	0.714478994	0.984067084	"(((38943:0.038959,24022:0.038887):0.085571,(34334:0.073627,16420:0.010984):0.011420):0.247184,11402:0.082429):0.714479;"
F04R22	ShellfishLab	mixed	3845	6	7	0.096288333	0.070789886	0.16302	0.097805	0.939000293	0.153791988	0.852808811	0.89524339	"(10885:0.430326,(38001:0.055958,(30085:0.045470,34185:0.028310):0.013674):0.000451):0.852809;"
NF118Sr2b	BelleairBlvd	pre	40	3	5	0.0449	0.01575577	0.05459	0.05339	0.972796133	0.051086797	0.93086327	0.967477611	"((27078:0.123764,40129:0.042524):0.002254,34893:0.036614):0.930863;"
NF118Sr2b	BelleairBlvd	pre	101	3	5	0.022233333	0.004666608	0.02733	0.0212	0.987175461	0.019867282	0.967736342	0.985539638	"((600:0.017399,40206:0.035115):0.000405,20739:0.043468):0.967736;"
NF118Sr2b	BelleairBlvd	pre	285	3	5	0.01334	0.001880319	0.0152	0.01338	0.996421746	0.005219939	0.990960153	0.997622273	"(13948:0.008735,(35958:0.011534,8339:0.006474):0.000188):0.990960;"
NF118Sr2b	BelleairBlvd	pre	302	15	11	0.084716667	0.022233198	0.12334	0.08137	0.977941984	0.037567406	0.926688888	0.975093683	"(10419:0.048405,(37164:0.020980,(32048:0.076120,((18790:0.054354,13027:0.024830):0.028226,8419:0.029730):0.011539):0.014451):0.007315):0.926689;"
NF118Sr2b	BelleairBlvd	pre	354	3	5	0.029573333	0.007331851	0.0353	0.03211	0.99082275	0.014962897	0.976932523	0.991264203	"((12949:0.035829,1218:0.014083):0.000249,13584:0.018793):0.976933;"
NF118Sr2b	BelleairBlvd	pre	214	6	7	0.116256667	0.034339367	0.15369	0.125225	0.969630509	0.071879674	0.889386625	0.942243291	"(11343:0.031836,(21366:0.014048,(1403:0.086345,23447:0.110526):0.041636):0.038809):0.889387;"
