
tree	pre	post	class	id	stat.count	stat.mean	stat.variance	stat.standard_deviation	stat.min	stat.max	stat.skewness	stat.kurtosis	stat.median	stat.harmonic_mean	stat.geometric_mean	stat.mode	newick
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/BayfrontPark.lst	../data/bik/presence_lists/F04R22/post/BayfrontPark.lst	pre	6505	6	0.04172	0.00024934392	0.0157906275999404	0.0192600000000001	0.06418	3.33066907387547e-17	-0.328143435577877	0.04172	0.0359721569848511	0.0389513414478271		(39012:0.000414,((24168:0.049985,14463:0.000414):0.009470,23367:0.048861):0.034922):0.944155;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/BayfrontPark.lst	../data/bik/presence_lists/F04R22/post/BayfrontPark.lst	pre	8338	6	0.122005	4.03789999997573e-07	0.000635444726154504	0.12123	0.12278	-1.04083408558608e-18	-1.83936129239603	0.122005	0.122002241952682	0.122003620976531		((33425:0.004522,32943:0.004254):0.009526,(18778:0.006345,19868:0.008847):0.006559):0.985966;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/BayfrontPark.lst	../data/bik/presence_lists/F04R22/post/BayfrontPark.lst	pre	8757	6	0.15742	0.0010789076	0.0328467289086752	0.12314	0.1917	0	-3.16873550595986	0.15742	0.15169643453253	0.154534819231546		(7906:0.074496,((35015:0.127245,27653:0.137813):0.031439,5864:0.177697):0.036231):0.827794;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/BayfrontPark.lst	../data/bik/presence_lists/F04R22/post/BayfrontPark.lst	pre	11167	6	0.0651199999999999	0.000607699760000001	0.0246515670901466	0.0289399999999999	0.1013	0	0.376807048345488	0.0651199999999999	0.0558474753662752	0.0607202774112469		((24544:0.004278,4993:0.015553):0.009369,(25526:0.034877,16520:0.009982):0.045072):0.956607;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/BayfrontPark.lst	../data/bik/presence_lists/F04R22/post/BayfrontPark.lst	pre	19134	6	0.15587	0.00232211404000001	0.0481883185014792	0.08834	0.2234	2.53130849614536e-15	-0.596386966990282	0.15587	0.142388658899218	0.149260354387077		((1186:0.206291,(26594:0.495728,1965:0.127131):0.361470):0.181923,15418:0.286448):0.403924;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/BayfrontPark.lst	../data/bik/presence_lists/F04R22/post/BayfrontPark.lst	mixed	9592	6	0.188155	0.000490955950000005	0.0221575258095304	0.15359	0.22272	0	2.04648299439715	0.188155	0.185933145697657	0.187052743949051		((31571:0.008039,23067:0.015424):0.166254,(35067:0.034811,38107:0.024214):0.093228):0.849637;
tree	pre	post	class	id	stat.count	stat.mean	stat.variance	stat.standard_deviation	stat.min	stat.max	stat.skewness	stat.kurtosis	stat.median	stat.harmonic_mean	stat.geometric_mean	stat.mode	newick
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	post	3421	6	0.04648	0.00039540536	0.0198848022368843	0.02042	0.07254	-6.70036942596042e-17	-1.30440414844115	0.04648	0.0384729111710675	0.0425406289208878		(((32164:0.068380,17942:0.045022):0.008682,12063:0.116305):0.000806,20738:0.000376):0.937534;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	post	4413	6	0.31871	0.00036553483999997	0.0191189654531821	0.29238	0.34504	-6.66133814775094e-15	-0.949361866327729	0.31871	0.317751879200701	0.318231168825781		(((5429:0.004751,15651:0.009391):0.037541,6288:0.009190):0.265980,9352:0.228550):0.718774;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/RyanCt.lst	../data/bik/presence_lists/F04R22/post/RyanCt.lst	post	9704	6	0.484285	0.00687895666999996	0.0829394759448115	0.40102	0.56755	-3.06421554796543e-15	-3.17980176763501	0.484285	0.472432479568343	0.478325962020066		((26557:0.171906,(35025:0.050697,15289:0.055708):0.145978):0.074864,34734:0.480183):0.681239;
