child	parent	length
n1875	n1874	0.00162
n1876	n1875	0.00207
9002	n1876	0.00942
n1878	n1876	0.00011
n1879	n1878	0.00011
27212	n1879	0.00942
n1881	n1879	0.00012
n1884	n1881	0.00026
n1885	n1884	0.01354
17553	n1885	0.06705
7646	n1885	0.00384
n1888	n1884	0.01423
13707	n1888	0.00628
40417	n1888	0.00641
5072	n1881	0.0094
n1896	n1878	0.00313
34037	n1896	0.00627
37028	n1896	0.00627
24215	n1875	0.00946
n1900	n1874	0.00312
17178	n1900	0
32932	n1900	0
n1904	n1873	0.01266
n1905	n1904	0.00485
29199	n1905	0.04231
5487	n1905	0.03091
16272	n1904	0.00308
27007	n1872	0.00942
12505	n1871	0.01262
n1918	n1868	0.025
4006	n1918	0.01258
n1920	n1918	0.01234
20208	n1920	0.00627
24046	n1920	0.0806
18843	n1826	0.05928
15951	n1825	0.05513
n1948	n1781	0.05096
8277	n1948	0.00438
39378	n1948	0.01294
n1982	n1780	0.05487
n1983	n1982	0.01137
28074	n1983	0.00589
36697	n1983	0.0003
n1988	n1982	0.00663
n1989	n1988	0.00014
15743	n1989	0
3157	n1989	0
12326	n1988	0.01493
n2026	n1775	0.0699
20586	n2026	0.0628
n2082	n2026	0.0261
n2085	n2082	0.01492
6103	n2085	0.06596
38773	n2085	0.00014
8891	n2082	0.01581
n2105	n1773	0.01311
n2110	n2105	0.05853
27426	n2110	0.00321
25624	n2110	0.00296
n2119	n2105	0.00892
n2123	n2119	0.04155
n2124	n2123	0.09776
37035	n2124	0.00015
n2126	n2124	0.01845
n2127	n2126	0.03433
27283	n2127	0.00288
35782	n2127	0.00613
n2138	n2126	0.01477
749	n2138	0.03203
6485	n2138	0.01486
n2147	n2123	0.1137
21803	n2147	0.16057
n2183	n2147	0.06568
n2184	n2183	0.00345
9683	n2184	0.00015
n2189	n2184	0.03184
2451	n2189	0.03001
n2191	n2189	0.00014
25716	n2191	0.01187
40172	n2191	0.0036
2196	n2183	0.00293
9307	n2119	0.06729
n2217	n1765	0.01965
n2218	n2217	0.01497
n2219	n2218	0.0318
14266	n2219	0.01951
25457	n2219	0.00284
n2222	n2218	0.00713
30070	n2222	0.04892
10518	n2222	0.05595
n2225	n2217	0.00667
n2228	n2225	0.03864
31359	n2228	0.02017
n2230	n2228	0.00191
33872	n2230	0.00319
