child	parent	length
30313	n1103	0.00773
11951	n1102	0.00245
18653	n869	0.01513
n1108	n866	0.00433
10035	n1108	0.00766
n1110	n1108	0.00856
24619	n1110	0.03469
28169	n1110	0.00385
n1113	n865	0.00245
5840	n1113	0.00739
n1115	n1113	0.00674
40365	n1115	0.00376
24190	n1115	0.00673
n1118	n864	0.00244
20343	n1118	0.00742
n1120	n1118	0.00245
16909	n1120	0.00493
12321	n1120	0.00492
23695	n859	0.00987
n1124	n858	0.00408
n1125	n1124	0.00015
n1126	n1125	0.00012
n1127	n1126	0.00017
n1128	n1127	0.00012
n1129	n1128	0.00191
20378	n1129	0.00741
34866	n1129	0.00192
n1132	n1128	0.00013
n1133	n1132	0.00013
n1134	n1133	0.00015
n1135	n1134	0.00011
n1136	n1135	0.00014
n1137	n1136	0.00012
18500	n1137	0.00986
n1139	n1137	0.00012
n1140	n1139	0.00186
n1141	n1140	0.00188
14378	n1141	0.00493
n1143	n1141	0.00115
n1144	n1143	0.00181
11156	n1144	0.00739
n1146	n1144	0.0024
n1147	n1146	0.00014
n1148	n1147	0.00014
4162	n1148	0.00491
n1150	n1148	0.00014
1662	n1150	0.00491
9356	n1150	0.02245
14335	n1147	0.00014
18723	n1146	0.01466
n1155	n1143	0.00118
n1156	n1155	0.00011
n1157	n1156	0.00014
n1158	n1157	0.00135
8473	n1158	0.00461
n1160	n1158	0.0014
27751	n1160	0.00738
n1162	n1160	0.00014
30773	n1162	0.00491
30420	n1162	0.0049
n1165	n1157	0.00014
18841	n1165	0.00491
27583	n1165	0.00491
n1168	n1156	0.00016
21690	n1168	0.00491
7408	n1168	0.03251
n1171	n1155	0.00014
7607	n1171	0.00485
33843	n1171	0.01361
22727	n1140	0.0058
n1175	n1139	0.00019
n1176	n1175	0.00244
40515	n1176	0.00741
38194	n1176	0.00489
n1179	n1175	0.00012
n1180	n1179	0.00018
29265	n1180	0.00986
n1182	n1180	0.00017
n1183	n1182	0.00014
n1184	n1183	0.00077
n1185	n1184	0.00011
n1186	n1185	0.0013
n1187	n1186	0.00713
3214	n1187	0.00494
38214	n1187	0.00246
n1190	n1186	0.00132
27822	n1190	0.00738
30762	n1190	0.00739
n1193	n1185	0.0001
n1194	n1193	0.00019
n1195	n1194	0.00066
17874	n1195	0.00566
n1197	n1195	0.00201
n1198	n1197	0.01207
11299	n1198	0.00015
38416	n1198	0.00669
n1201	n1197	0.00738
18383	n1201	0.00245
n1203	n1201	0.00014
1974	n1203	0.00986
24458	n1203	0.00014
n1206	n1194	0.00435
6014	n1206	0.00733
n1208	n1206	0.00015
n1209	n1208	0.00014
22157	n1209	0.00737
33022	n1209	0.00917
28728	n1208	0.00986
n1213	n1193	0.00243
n1214	n1213	0.00014
7968	n1214	0.00737
40779	n1214	0.00737
n1217	n1213	0.00488
39644	n1217	0.00484
37965	n1217	0.00014
n1220	n1184	0.00242
21470	n1220	0.00986
n1222	n1220	0.00015
31381	n1222	0.0074
38343	n1222	0.00739
n1225	n1183	0.00245
32752	n1225	0.00741
38050	n1225	0.00493
n1228	n1182	0.00244
n1229	n1228	0.00246
8922	n1229	0.00493
27329	n1229	0.00742
n1232	n1228	0.00014
13973	n1232	0.00738
33823	n1232	0.00747
n1235	n1179	0.00243
24509	n1235	0.00738
n1237	n1235	0.00015
18260	n1237	0.00739
12831	n1237	0.00491
n1240	n1136	0.00381
33239	n1240	0.00384
n1242	n1240	0.00014
22831	n1242	0.00738
27046	n1242	0.0074
n1245	n1135	0.0019
8087	n1245	0.0074
n1247	n1245	0.00191
24135	n1247	0.00385
n1249	n1247	0.00016
26980	n1249	0.00491
30518	n1249	0.00491
9303	n1134	0.00987
27791	n1133	0.00774
n1254	n1132	0.00189
13600	n1254	0.00579
3812	n1254	0.00489
n1257	n1127	0.00015
20988	n1257	0.00193
n1259	n1257	0.00226
1783	n1259	0.0074
9478	n1259	0.00743
n1262	n1126	0.00479
4876	n1262	0.00494
n1264	n1262	0.00524
34234	n1264	0.01758
34254	n1264	0.02436
n1267	n1125	0.00016
n1268	n1267	0.00124
n1269	n1268	0.00097
n1270	n1269	0.00471
39440	n1270	0.00977
37287	n1270	0.0075
n1273	n1269	0.0038
35720	n1273	0.00192
n1275	n1273	0.00015
38702	n1275	0.0074
37575	n1275	0.00736
n1278	n1268	0.01721
26914	n1278	0.02027
n1280	n1278	0.00211
n1281	n1280	0.00015
n1282	n1281	0.00242
9616	n1282	0.00245
40215	n1282	0.00489
23996	n1281	0.00733
21237	n1280	0.00736
n1287	n1267	0.00014
n1288	n1287	0.00014
n1289	n1288	0.00371
505	n1289	0.00665
5628	n1289	0.00684
27937	n1288	0.00388
n1293	n1287	0.00014
n1294	n1293	0.00191
26861	n1294	0.00581
12160	n1294	0.00739
n1297	n1293	0.00206
n1298	n1297	0.00134
n1299	n1298	0.00106
n1301	n1299	0.00079
n1302	n1301	0.00024
n1303	n1302	0.00015
n1304	n1303	0.00943
9143	n1304	0.01767
n1306	n1304	0.00275
34523	n1306	0.01302
n1308	n1306	0.00298
8603	n1308	0.00511
n1310	n1308	0.01688
n1311	n1310	0.00254
17181	n1311	0.00014
n1313	n1311	0.00014
4098	n1313	0.01311
18542	n1313	0.00014
n1316	n1310	0.0144
n1317	n1316	0.01177
708	n1317	0.00014
18566	n1317	0.02662
36455	n1316	0.00958
n1321	n1303	0.00014
n1322	n1321	0.01351
4588	n1322	0.01715
n1324	n1322	0.00298
17523	n1324	0.00014
35922	n1324	0.00737
n1327	n1321	0.00227
20906	n1327	0.00458
n1329	n1327	0.00014
24844	n1329	0.00738
21713	n1329	0.00731
n1332	n1302	0.00241
19017	n1332	0.00731
n1334	n1332	0.00243
16222	n1334	0.00492
16776	n1334	0.00495
37654	n1301	0.00988
n1339	n1299	0.00242
9587	n1339	0.00739
n1341	n1339	0.00014
24503	n1341	0.00737
n1343	n1341	0.00486
19839	n1343	0.00015
21091	n1343	0.00245
n1346	n1298	0.00242
16330	n1346	0.00986
n1348	n1346	0.00014
31167	n1348	0.00738
12431	n1348	0.00739
32365	n1297	0.0098
31414	n1124	0.0099
14146	n857	0.00739
25961	n856	0.00738
6155	n855	0.00737
n1358	n854	0.00462
n1359	n1358	0.00898
80	n1359	0.02031
n1361	n1359	0.00366
n1362	n1361	0.01777
39646	n1362	0.00014
3800	n1362	0.00014
20152	n1361	0.00875
n1366	n1358	0.00239
22636	n1366	0.00249
n1368	n1366	0.0102
n1369	n1368	0.01402
1670	n1369	0.01859
31404	n1369	0.03432
34735	n1368	0.00489
n1373	n853	0.00984
16504	n1373	0.00014
2087	n1373	0.00491
n1376	n766	0.03466
n1377	n1376	0.00238
n1378	n1377	0.00236
28241	n1378	0.00203
n1380	n1378	0.01943
25082	n1380	0.00936
18985	n1380	0.0582
n1383	n1377	0.01809
21759	n1383	0.04449
34105	n1383	0.06842
n1386	n1376	0.00015
n1387	n1386	0.00618
6617	n1387	0.00896
n1389	n1387	0.00015
31163	n1389	0.00601
19155	n1389	0.00802
n1392	n1386	0.01245
7741	n1392	0.01844
13493	n1392	0.00843
n1395	n765	0.01326
4524	n1395	0.04363
20032	n1395	0.00903
n1934	n748	0.03912
n1935	n1934	0.01779
n1936	n1935	0.00821
n1937	n1936	0.02175
n1938	n1937	0.00571
n1939	n1938	0.01382
n1940	n1939	0.01599
n2126	n1940	0.06484
14418	n2126	0.02803
n2273	n2126	0.12991
37169	n2273	0.00481
n2275	n2273	0.00464
40480	n2275	0.00883
n2277	n2275	0.00015
35449	n2277	0.01192
24751	n2277	0.00014
8438	n1940	0.28906
n3403	n1939	0.04467
n4441	n3403	0.12048
n4442	n4441	0.01425
n4443	n4442	0.00594
n4455	n4443	0.01733
n4483	n4455	0.00117
n4484	n4483	0.00014
n4485	n4484	0.00015
n4486	n4485	0.00013
n4499	n4486	0.01329
39549	n4499	0.0022
26963	n4499	0.0044
n4508	n4486	0.00251
25657	n4508	0.04124
n4671	n4508	0.00423
n4672	n4671	0.00014
16864	n4672	0.0132
n4687	n4672	0.00116
n4694	n4687	0.00058
17461	n4694	0.00891
n4727	n4694	0.00163
31944	n4727	0.02434
25152	n4727	0.02539
19710	n4687	0.01113
30707	n4671	0.02623
36923	n4485	0.21059
12845	n4484	0.00876
33293	n4483	0.09197
n5107	n4455	0.00172
n5108	n5107	0.0019
n5115	n5108	0.03353
39668	n5115	0.04946
37233	n5115	0.08369
n5184	n5108	0.00015
n5185	n5184	0.00014
36249	n5185	0.00737
22738	n5185	0.00434
n5229	n5184	0.00711
n5230	n5229	0.00015
3984	n5230	0.00438
11219	n5230	0.00657
2925	n5229	0.00437
n5248	n5107	0.00127
n5263	n5248	0.05189
2121	n5263	0.01447
35252	n5263	0.0046
13729	n5248	0.00656
2906	n4443	0.01955
38665	n4442	0.11321
n5481	n4441	0.01488
n5482	n5481	0.00149
n5489	n5482	0.00949
n5490	n5489	0.01499
n5493	n5490	0.01243
n5494	n5493	0.01124
3993	n5494	0.05386
19504	n5494	0.02115
11138	n5493	0.02839
n5732	n5490	0.01984
n5735	n5732	0.01636
12037	n5735	0.02235
11757	n5735	0.03936
38868	n5732	0.04516
3708	n5489	0.02006
39234	n5482	0.13678
n6104	n5481	0.03519
13545	n6104	0.01803
21344	n6104	0.08001
33381	n3403	0.1365
n6720	n1938	0.15545
n6766	n6720	0.02804
n6798	n6766	0.02195
n6799	n6798	0.00464
n6808	n6799	0.05836
24676	n6808	0.12629
n6810	n6808	0.11091
6671	n6810	0.03358
8971	n6810	0.0145
n6854	n6799	0.05406
n6857	n6854	0.09712
12920	n6857	0.00219
28584	n6857	0.00654
n6872	n6854	0.12318
493	n6872	0.02252
28834	n6872	0.00014
n6908	n6798	0.06168
n6920	n6908	0.08917
n6923	n6920	0.0251
n6928	n6923	0.0119
4954	n6928	0.00014
28034	n6928	0.00014
n6931	n6923	0.00303
30283	n6931	0.00967
n6933	n6931	0.00234
9177	n6933	0.02165
n6935	n6933	0.00016
n6936	n6935	0.00014
40425	n6936	0
14528	n6936	0
5266	n6935	0.02194
n6963	n6920	0.02264
7437	n6963	0.02052
240	n6963	0.01421
n6978	n6908	0.0103
n7042	n6978	0.06365
36524	n7042	0.00529
6337	n7042	0.00505
40764	n6978	0.05683
n7298	n6766	0.04625
n7299	n7298	0.01022
n7300	n7299	0.00387
n7301	n7300	0.00998
n7368	n7301	0.0081
n7377	n7368	0.02876
26468	n7377	0.00413
n7379	n7377	0.00014
n7380	n7379	0.00015
n7381	n7380	0.0092
34530	n7381	0.0038
n7383	n7381	0.00374
4884	n7383	0.00485
12274	n7383	0.02712
n7386	n7380	0.00015
31338	n7386	0.00987
5785	n7386	0.00979
n7401	n7379	0.00425
15929	n7401	0.01487
29287	n7401	0.02012
11402	n7368	0.09402
39219	n7301	0.13191
38247	n7300	0.06037
n8482	n7299	0.0394
n8501	n8482	0.04047
27861	n8501	0.00244
25669	n8501	0.00736
n8650	n8482	0.01995
4231	n8650	0.00243
18032	n8650	0.00868
n8660	n7298	0.01062
19574	n8660	0.09378
n8695	n8660	0.01864
39917	n8695	0.09141
n8700	n8695	0.09301
9839	n8700	0.0023
33171	n8700	0.00016
n8785	n6720	0.02698
n8786	n8785	0.0059
n8787	n8786	0.02952
n8795	n8787	0.03263
n8796	n8795	0.00933
n8808	n8796	0.0633
27068	n8808	0.09316
10869	n8808	0.16517
n8990	n8796	0.08601
n8991	n8990	0.03897
37758	n8991	0.00986
n9029	n8991	0.0005
n9036	n9029	0.0099
18830	n9036	0.00499
13019	n9036	0.00541
18971	n9029	0.005
6824	n8990	0.04614
17801	n8795	0.16471
n9465	n8787	0.02199
22594	n9465	0.09827
25613	n9465	0.09903
n9703	n8786	0.06019
n9705	n9703	0.03545
n9793	n9705	0.71073
27389	n9793	0.02915
n9795	n9793	0.00014
4481	n9795	0.1051
36893	n9795	0.00014
n9881	n9705	0.02794
24923	n9881	0.14355
n9892	n9881	0.03939
n9893	n9892	0.00489
n9895	n9893	0.0269
38193	n9895	0.05404
n9943	n9895	0.08232
19350	n9943	0.01778
22932	n9943	0.13415
n9978	n9893	0.01486
n9987	n9978	0.1553
25834	n9987	0.00745
4502	n9987	0.01501
n10022	n9978	0.06989
n10027	n10022	0.01958
11196	n10027	0.01187
25207	n10027	0.01428
n10030	n10022	0.00475
7288	n10030	0.03199
n10033	n10030	0.00257
n10034	n10033	0.00236
n10035	n10034	0.00471
6280	n10035	0.0119
32106	n10035	0.00471
27114	n10034	0.0215
35181	n10033	0.0143
n10116	n9892	0.09439
n10121	n10116	0.07887
17058	n10121	0.00014
35214	n10121	0.00015
n10124	n10116	0.05071
n10125	n10124	0.02464
n10126	n10125	0.02858
1214	n10126	0.01293
n10130	n10126	0.00761
18460	n10130	0.01222
n10132	n10130	0.01236
4492	n10132	0.01542
n10134	n10132	0.01968
n10135	n10134	0.00869
n10136	n10135	0.00015
n10147	n10136	0.0049
9761	n10147	0.00478
13803	n10147	0.00493
n10152	n10136	0.00015
19714	n10152	0.01737
n10156	n10152	0.00016
n10157	n10156	0.0001
n10179	n10157	0.00143
21358	n10179	0.00967
n10183	n10179	0.00014
38212	n10183	0.01979
17927	n10183	0.00962
16710	n10157	0.00917
27128	n10156	0.00957
n10219	n10135	0.02302
11826	n10219	0.20299
21513	n10219	0.00944
n10224	n10134	0.00039
15081	n10224	0.02781
n10228	n10224	0.00675
9898	n10228	0.00989
n10231	n10228	0.01151
n10232	n10231	0.00014
n10233	n10232	0.00717
2851	n10233	0.0545
n10249	n10233	0.0003
13853	n10249	0.05202
33338	n10249	0.01195
n10254	n10232	0.00014
11624	n10254	0.00969
n10256	n10254	0.00014
17055	n10256	0.01292
10742	n10256	0.00969
n10289	n10231	0.00016
2742	n10289	0.00966
n10298	n10289	0.00047
32334	n10298	0.01036
14261	n10298	0.01225
n10307	n10125	0.03372
38749	n10307	0.01464
n10309	n10307	0.02354
10590	n10309	0.03008
n10319	n10309	0.01964
25378	n10319	0.00749
n10321	n10319	0.00016
15067	n10321	0.01901
n10327	n10321	0.00014
1063	n10327	0.03048
978	n10327	0.03026
20287	n10124	0.07966
n10375	n9703	0.0732
19481	n10375	0.18314
n10698	n10375	0.02763
n10718	n10698	0.06676
9545	n10718	0
30521	n10718	0
n10740	n10698	0.03972
15166	n10740	0.00016
37084	n10740	0.00245
n10945	n8785	0.05054
n10967	n10945	0.07947
10343	n10967	0.04288
n10977	n10967	0.00578
25516	n10977	0.1185
n11039	n10977	0.01155
27627	n11039	0.082
n11042	n11039	0.03276
14955	n11042	0.05347
n11044	n11042	0.00566
3827	n11044	0.01942
n11046	n11044	0.00015
13209	n11046	0.00874
36430	n11046	0.00014
27740	n10945	0.16633
34092	n1937	0.11753
n11318	n1936	0.02485
17599	n11318	0.07999
n11321	n11318	0.07698
2344	n11321	0.06024
n11323	n11321	0.0147
n11324	n11323	0.01756
n11325	n11324	0.0354
7724	n11325	0.02698
n11327	n11325	0.01835
n11328	n11327	0.00016
27698	n11328	0.00014
38536	n11328	0.00968
n11331	n11327	0.00016
17025	n11331	0.01849
783	n11331	0.01455
n11334	n11324	0.00015
4142	n11334	0.00944
17372	n11334	0.00014
40618	n11323	0.03344
n11695	n1935	0.0981
16604	n11695	0.05644
n11699	n11695	0.00014
n11700	n11699	0.00728
2914	n11700	0.04784
n11703	n11700	0.01231
n11704	n11703	0.00012
n11705	n11704	0.00011
n11706	n11705	0.00012
n11707	n11706	0.0001
26290	n11707	0.00462
n11709	n11707	0.00012
n11711	n11709	0.00287
n11712	n11711	0.00198
10079	n11712	0.00436
n11716	n11712	0.00015
n11717	n11716	0.00012
n11718	n11717	0.00014
31969	n11718	0.00462
n11722	n11718	0.00029
40519	n11722	0.01159
n11728	n11722	0.00717
4521	n11728	0.00947
n11730	n11728	0.00984
18492	n11730	0.03192
n11732	n11730	0.00385
n11733	n11732	0.00609
n11734	n11733	0.00014
n11735	n11734	0.00713
n11736	n11735	0.00316
811	n11736	0.00244
33124	n11736	0.02574
2758	n11735	0.02434
29671	n11734	0.00476
5263	n11733	0.01203
n11748	n11732	0.00751
n11749	n11748	0.0353
68	n11749	0.01318
n11753	n11749	0.06998
20004	n11753	0.00471
n11755	n11753	0.00709
28486	n11755	0.02945
39963	n11755	0.06636
n11758	n11748	0.00835
3547	n11758	0.03203
28237	n11758	0.02485
19695	n11717	0.00463
31079	n11716	0.00476
n11768	n11711	0.01274
n11771	n11768	0.07284
20437	n11771	0.06918
19985	n11771	0.03452
n11784	n11768	0.02897
2860	n11784	0.04918
n11786	n11784	0.04443
n11789	n11786	0.18312
38746	n11789	0.03697
30112	n11789	0.03945
n11798	n11786	0.08085
n11799	n11798	0.01657
n11800	n11799	0.00015
n11801	n11800	0.00033
23537	n11801	0.04859
24903	n11801	0.02732
34779	n11800	0.0432
27671	n11799	0.00015
