child	parent	length
26323	n892	0.00755
n888	n892	0.02315
18181	n888	0.01288
n887	n888	0.00014
17124	n887	0.00255
39322	n887	0.02534
3088	n901	0.05058
n932	n934	0.03322
6186	n932	0.03406
n923	n932	0.04853
32111	n923	0.00757
n920	n923	0.01832
n910	n920	0.00507
13660	n910	0.01244
22612	n910	0.01543
3002	n920	0.01038
n948	n950	0.03189
n943	n948	0.00704
37165	n943	0.03253
n940	n943	0.01231
2950	n940	0.04264
n939	n940	0.00284
10334	n939	0.0151
21136	n939	0.03037
n947	n948	0.00865
n945	n947	0.02353
25889	n945	0.01928
20473	n945	0.04923
n946	n947	0.02136
5166	n946	0.02432
373	n946	0.03753
n999	n1000	0.01237
n962	n999	0.00573
n951	n962	0.00504
789	n951	0.00982
33751	n951	0.0079
18309	n962	0.01857
n998	n999	0.00777
n970	n998	0.00475
23106	n970	0.07113
n969	n970	0.00998
26743	n969	0.02486
n968	n969	0.00901
1277	n968	0.06299
n967	n968	0.00015
3058	n967	0.01053
28587	n967	0.01696
40635	n998	0.26174
19729	n1001	0.0057
8532	n1002	0.00757
n1139	n1142	0.00042
n1137	n1139	0.0089
n1117	n1137	0.00537
2707	n1117	0.01012
n1116	n1117	0.00235
34048	n1116	0.02106
n1115	n1116	0.00247
n1026	n1115	0.01275
n1024	n1026	0.017
n1022	n1024	0.00015
22624	n1022	0.00616
n1021	n1022	0.01249
6514	n1021	0.01745
9482	n1021	0.0127
n1023	n1024	0.00967
18901	n1023	0.01165
31090	n1023	0.03228
14109	n1026	0.10653
n1113	n1115	0.0222
n1109	n1113	0.01884
n1106	n1109	0.00962
36978	n1106	0.00391
n1105	n1106	0.0297
n1104	n1105	0.00016
n1103	n1104	0.00626
n1052	n1103	0.00015
n1031	n1052	0.00544
38513	n1031	0.01547
n1030	n1031	0.01118
24317	n1030	0.01237
30173	n1030	0.0032
n1051	n1052	0.00015
26618	n1051	0.02733
n1050	n1051	0.00015
n1048	n1050	0.03039
n1033	n1048	0.03971
40617	n1033	0.00014
24707	n1033	0.00407
n1047	n1048	0.01429
n1046	n1047	0.00014
n1041	n1046	0.00492
22984	n1041	0.01468
4485	n1041	0.00315
n1045	n1046	0.00531
n1044	n1045	0.00014
37548	n1044	0.02038
29795	n1044	0.03063
11175	n1045	0.00928
31490	n1047	0.00621
n1049	n1050	0.01929
4902	n1049	0.00317
9346	n1049	0.00015
n1099	n1103	0.02074
n1084	n1099	0.03876
n1077	n1084	0.00259
16576	n1077	0.01996
n1076	n1077	0.00509
17105	n1076	0.00928
n1075	n1076	0.00015
21951	n1075	0.04823
n1074	n1075	0.0294
n1068	n1074	0.03685
39433	n1068	0.03275
31614	n1068	0.00016
n1073	n1074	0.00014
n1071	n1073	0.0126
22310	n1071	0.00733
n1070	n1071	0.00491
10998	n1070	0.00014
33795	n1070	0.00014
39981	n1073	0.00381
15531	n1084	0.00881
n1098	n1099	0.01369
11653	n1098	0.06403
n1095	n1098	0.01421
n1091	n1095	0.02135
24522	n1091	0.05874
n1090	n1091	0.11441
29158	n1090	0.09451
2240	n1090	0.11006
18568	n1095	0.01625
35862	n1104	0.00601
22487	n1105	0.00904
n1108	n1109	0.00014
3950	n1108	0.00587
n1107	n1108	0.00092
8102	n1107	0.01599
11405	n1107	0.03118
3446	n1113	0.06296
17404	n1137	0.04558
7594	n1139	0.02453
21438	n1147	0.00975
n1173	n1174	0.00014
22550	n1173	0.00977
n1166	n1173	0.00871
n1163	n1166	0.00438
29441	n1163	0.00488
4140	n1163	0.01175
19292	n1166	0.01245
11912	n1194	0.02745
n1195	n1196	0.02161
39334	n1195	0.0085
27516	n1195	0.01926
n12080	n12081	0.00213
n12074	n12080	0.00213
n11283	n12074	0.00015
n11277	n11283	0.0522
n11257	n11277	0.00016
n11207	n11257	0.01853
n1203	n11207	0.0058
8834	n1203	0.01767
n1202	n1203	0.00015
19368	n1202	0.0097
n1201	n1202	0.00192
n1200	n1201	0.00015
n1199	n1200	0.00387
15410	n1199	0.00388
23285	n1199	0.00582
23448	n1200	0.01969
40522	n1201	0.00971
n11206	n11207	0.00015
8026	n11206	0.0117
n11205	n11206	0.00015
n11203	n11205	0.00723
n1230	n11203	0.00015
n1223	n1230	0.00295
n1220	n1223	0.00018
n1210	n1220	0.00796
n1207	n1210	0.00276
36690	n1207	0.00828
36044	n1207	0.0097
n1209	n1210	0.00014
3678	n1209	0.01455
31775	n1209	0.02682
14426	n1220	0.00772
14521	n1223	0.01773
n1228	n1230	0.01029
3624	n1228	0.01221
17569	n1228	0.05697
n11198	n11203	0.01352
n1432	n11198	0.00136
n1341	n1432	0.00566
n1267	n1341	0.01459
n1253	n1267	0.00584
27694	n1253	0.02195
n1252	n1253	0.00014
n1237	n1252	0.0036
33409	n1237	0.00777
8080	n1237	0.03649
n1250	n1252	0.01475
n1249	n1250	0.00015
11240	n1249	0.01385
n1239	n1249	0.01929
31430	n1239	0.00014
13925	n1239	0.00016
24983	n1250	0.0166
n1259	n1267	0.10459
33004	n1259	0.03571
22655	n1259	0.01049
n1340	n1341	0.01307
n1285	n1340	0.07333
11697	n1285	0.00992
n1284	n1285	0.00015
22444	n1284	0.03807
n1283	n1284	0.00286
6334	n1283	0.00684
n1282	n1283	0.00542
n1280	n1282	0.01279
24008	n1280	0.02238
n1279	n1280	0.00636
5999	n1279	0.00991
38673	n1279	0.01256
34114	n1282	0.01772
n1339	n1340	0.01943
n1319	n1339	0.01383
n1313	n1319	0.00251
n1311	n1313	0.00029
13050	n1311	0.03475
18857	n1311	0.06342
39348	n1313	0.01452
n1317	n1319	0.01566
16502	n1317	0.01848
n1316	n1317	0.00468
32127	n1316	0.02141
15214	n1316	0.01674
n1338	n1339	0.01557
n1332	n1338	0.07652
n1328	n1332	0.04549
24608	n1328	0.02861
n1326	n1328	0.05925
20746	n1326	0.02789
20137	n1326	0.03812
n1330	n1332	0.02697
1581	n1330	0.01589
27323	n1330	0.0079
2704	n1338	0.02089
n1430	n1432	0.00912
n1345	n1430	0.07569
33917	n1345	0.00014
22913	n1345	0.02696
n1428	n1430	0.01974
20922	n1428	0.09191
n1427	n1428	0.0354
n1424	n1427	0.03821
31510	n1424	0.06176
n1423	n1424	0.13377
15826	n1423	0.06438
n1422	n1423	0.02506
22040	n1422	0.00014
26566	n1422	0.02588
n1425	n1427	0.07855
5756	n1425	0.02985
26857	n1425	0.00014
n11197	n11198	0.00015
n11128	n11197	0.00114
n11126	n11128	0.00114
n1458	n11126	0.00592
n1452	n1458	0.01445
17042	n1452	0.0064
n1451	n1452	0.00016
8779	n1451	0.0524
n1450	n1451	0.00014
21235	n1450	0.02571
n1449	n1450	0.00596
17309	n1449	0.08264
n1448	n1449	0.00492
n1446	n1448	0.00266
26869	n1446	0.00779
12480	n1446	0.0138
3321	n1448	0.0138
n1456	n1458	0.00527
n1455	n1456	0.00327
35897	n1455	0.00975
37688	n1455	0.00914
30311	n1456	0.00686
n11125	n11126	0.00259
n11124	n11125	0.00221
n11120	n11124	0.01524
n1466	n11120	0.0119
5878	n1466	0.04011
n1465	n1466	0.00013
n1464	n1465	0.00015
26362	n1464	0.01721
16963	n1464	0.03382
7280	n1465	0.01375
n11118	n11120	0.00636
n11055	n11118	0.00041
n11053	n11055	0.00014
8576	n11053	0.0195
n11052	n11053	0.00492
n11047	n11052	0.02253
n1512	n11047	0.00483
n1489	n1512	0.05967
n1482	n1489	0.05053
6007	n1482	0.00517
n1481	n1482	0.00014
33596	n1481	0.06565
18561	n1481	0.00522
7817	n1489	0.14849
n1503	n1512	0.06864
31444	n1503	0.05486
3746	n1503	0.03459
n11045	n11047	0.01297
n10979	n11045	0.0027
33308	n10979	0.04876
n10978	n10979	0.0244
n8882	n10978	0.01412
n1696	n8882	0.04448
n1693	n1696	0.00652
n1549	n1693	0.01523
n1543	n1549	0.04447
40642	n1543	0.07269
32820	n1543	0.08885
n1545	n1549	0.16302
10699	n1545	0.00861
32267	n1545	0.01788
n1647	n1693	0.01249
n1630	n1647	0.03958
n1569	n1630	0.07988
23715	n1569	0.01539
n1568	n1569	0.0128
13072	n1568	0.00238
12089	n1568	0.00724
n1629	n1630	0.00095
n1618	n1629	0.04084
n1593	n1618	0.00237
n1590	n1593	0.03925
9055	n1590	0.00564
n1589	n1590	0.00361
39942	n1589	0.06883
18277	n1589	0.02341
19051	n1593	0.00964
n1617	n1618	0.00015
20758	n1617	0.02866
n1615	n1617	0.00032
n1609	n1615	0.00015
40136	n1609	0.00014
n1608	n1609	0.00014
20946	n1608	0.00952
n1607	n1608	0.00014
n1605	n1607	0.00253
n1602	n1605	0.00016
n1601	n1602	0.00015
n1600	n1601	0.00014
24719	n1600	0.00712
n1599	n1600	0.00014
n1595	n1599	0.00016
32508	n1595	0.00706
34137	n1595	0.03917
n1598	n1599	0.00016
n1596	n1598	0.00015
35925	n1596	0.01596
35060	n1596	0.00658
n1597	n1598	0.00015
24778	n1597	0.00744
26303	n1597	0.00706
13305	n1601	0.00712
19811	n1602	0.00712
n1604	n1605	0.00595
5765	n1604	0.01137
n1603	n1604	0.01137
2726	n1603	0.00236
362	n1603	0.00476
n1606	n1607	0.00014
3587	n1606	0.00893
3856	n1606	0.0119
n1614	n1615	0.00221
n1611	n1614	0.00016
37352	n1611	0.00463
n1610	n1611	0.00218
19407	n1610	0.01199
7344	n1610	0.00477
n1613	n1614	0.00016
37258	n1613	0.00712
20248	n1613	0.01575
n1624	n1629	0.04982
29221	n1624	0.02694
n1623	n1624	0.0135
14143	n1623	0.03338
n1622	n1623	0.00016
35780	n1622	0.04511
n1621	n1622	0.00191
22903	n1621	0.01163
2754	n1621	0.00592
n1641	n1647	0.02985
n1640	n1641	0.00628
5836	n1640	0.00016
n1639	n1640	0.00462
28495	n1639	0.01476
n1638	n1639	0.00015
7774	n1638	0.00486
22781	n1638	0.01709
9050	n1641	0.01048
23322	n1696	0.09108
n8881	n8882	0.00879
n8624	n8881	0.00602
n8175	n8624	0.01736
n1841	n8175	0.1038
n1818	n1841	0.00754
n1814	n1818	0.06524
7370	n1814	0.00015
1899	n1814	0.11971
n1816	n1818	0.01783
14382	n1816	0.00014
3664	n1816	0.00015
n1839	n1841	0.01501
n1827	n1839	0.00236
n1826	n1827	0.00014
19559	n1826	0.01235
n1825	n1826	0.00652
38980	n1825	0.05752
10349	n1825	0.05811
1228	n1827	0.00497
n1838	n1839	0.00015
n1828	n1838	0.01402
22928	n1828	0.03867
3536	n1828	0.01938
n1837	n1838	0.00605
n1833	n1837	0.00014
17184	n1833	0.01207
n1832	n1833	0.00284
n1830	n1832	0.0264
17346	n1830	0.02187
n1829	n1830	0.0047
20926	n1829	0.00655
36337	n1829	0.00349
n1831	n1832	0.01054
7269	n1831	0.00255
8418	n1831	0.01856
n1836	n1837	0.00014
n1834	n1836	0.02803
23844	n1834	0.0079
29161	n1834	0.00616
n1835	n1836	0.01358
39495	n1835	0.01357
1115	n1835	0.03656
n8173	n8175	0.02588
n2208	n8173	0.14874
n2206	n2208	0.01507
n2196	n2206	0.00515
n1899	n2196	0.02024
40702	n1899	0.09625
n1898	n1899	0.01022
n1897	n1898	0.00015
n1894	n1897	0.00044
31627	n1894	0.05268
23686	n1894	0.00685
n1896	n1897	0.00221
24322	n1896	0.04312
n1895	n1896	0.01611
7315	n1895	0.04269
18123	n1895	0.04563
4823	n1898	0.01951
n2195	n2196	0.00016
n1933	n2195	0.01016
n1900	n1933	0.01763
10430	n1900	0.00688
19743	n1900	0.01154
n1932	n1933	0.03225
n1901	n1932	0.00872
9338	n1901	0.02706
32690	n1901	0.04738
n1930	n1932	0.00918
n1902	n1930	0.00016
16613	n1902	0.01791
2960	n1902	0.04079
n1929	n1930	0.00278
n1918	n1929	0.00587
n1907	n1918	0.00014
n1903	n1907	0.00399
4951	n1903	0.01021
28132	n1903	0.01239
n1906	n1907	0.00015
18226	n1906	0.00816
n1905	n1906	0.00014
18399	n1905	0.02091
n1904	n1905	0.00014
7942	n1904	0.01631
30010	n1904	0.01428
n1917	n1918	0.00014
n1911	n1917	0.00074
n1909	n1911	0.01053
31848	n1909	0.01035
n1908	n1909	0.02167
13854	n1908	0.00631
16234	n1908	0.00612
n1910	n1911	0.02052
1893	n1910	0.01637
26722	n1910	0.00596
n1916	n1917	0.00842
n1914	n1916	0.00404
n1913	n1914	0.00015
15538	n1913	0.00816
n1912	n1913	0.00015
27042	n1912	0.00607
31625	n1912	0.00409
18257	n1914	0.00397
n1915	n1916	0.00683
5832	n1915	0.01739
9424	n1915	0.02712
n1928	n1929	0.00016
n1926	n1928	0.00014
n1919	n1926	0.002
28837	n1919	0.00409
15876	n1919	0.01021
n1925	n1926	0.00011
n1924	n1925	0.00014
n1922	n1924	0.00014
n1921	n1922	0.00208
n1920	n1921	0.00314
16696	n1920	0.04468
21667	n1920	0.00305
22590	n1921	0.00609
34324	n1922	0.01329
n1923	n1924	0.00016
38679	n1923	0.00807
498	n1923	0.00608
24473	n1925	0.00817
n1927	n1928	0.00014
37405	n1927	0.01014
3578	n1927	0.00613
n2194	n2195	0.00351
n2192	n2194	0.00016
n2184	n2192	0.00014
n2183	n2184	0.00015
n2182	n2183	0.00015
n2181	n2182	0.00332
n2065	n2181	0.00194
n2064	n2065	0.0001
n1934	n2064	0.00992
28315	n1934	0.00749
29544	n1934	0.00245
n2063	n2064	0.0001
n2060	n2063	0.00012
n2057	n2060	0.00011
n2054	n2057	0.0001
287	n2054	0.00988
n2053	n2054	0.00011
n2052	n2053	0.0001
27418	n2052	0.00988
n2051	n2052	0.00973
n2020	n2051	0.00024
n2019	n2020	0.00012
n1980	n2019	0.00015
9269	n1980	0.00996
n1979	n1980	0.00717
n1974	n1979	0.01836
n1972	n1974	0.00015
n1948	n1972	0.00012
n1947	n1948	0.00576
n1945	n1947	0.00014
n1944	n1945	0.00353
7982	n1944	0.02945
25875	n1944	0.02528
2106	n1945	0.02468
n1946	n1947	0.00247
9580	n1946	0.00495
24495	n1946	0.00742
4852	n1948	0.02126
n1971	n1972	0.00015
n1952	n1971	0.00015
n1949	n1952	0.00016
6282	n1949	0.00578
12715	n1949	0.00981
n1951	n1952	0.0019
26595	n1951	0.0074
n1950	n1951	0.0019
13798	n1950	0.00771
20736	n1950	0.00494
n1970	n1971	0.00097
8611	n1970	0.00872
n1969	n1970	0.00822
n1953	n1969	0.01008
12980	n1953	0.00015
28563	n1953	0.00246
n1968	n1969	0.01094
n1963	n1968	0.04544
n1962	n1963	0.01356
18508	n1962	0.01176
n1961	n1962	0.00596
n1960	n1961	0.01408
n1957	n1960	0.03172
n1956	n1957	0.01292
n1955	n1956	0.00678
n1954	n1955	0.0174
31980	n1954	0.01051
33907	n1954	0.02453
27757	n1955	0.03016
35107	n1956	0.07938
18176	n1957	0.02821
30863	n1960	0.00369
32494	n1961	0.02755
23254	n1963	0.03793
n1967	n1968	0.02765
34538	n1967	0.035
n1966	n1967	0.0414
n1965	n1966	0.09663
29774	n1965	0.21373
13871	n1965	0.0818
2214	n1966	0.00817
n1973	n1974	0.00342
22907	n1973	0.00662
25397	n1973	0.0248
n1978	n1979	0.00231
n1975	n1978	0.00016
3737	n1975	0.01488
226	n1975	0.00741
n1977	n1978	0.00015
n1976	n1977	0.00245
32025	n1976	0.00492
33297	n1976	0.00492
11110	n1977	0.00737
n2018	n2019	0.00011
n2017	n2018	0.0001
n2014	n2017	0.0013
n2008	n2014	0.0061
n2007	n2008	0.00015
n2004	n2007	0.00014
n1981	n2004	0.00243
39760	n1981	0.00493
30753	n1981	0.00741
n2003	n2004	0.00012
24219	n2003	0.00988
n2002	n2003	0.00014
n1982	n2002	0.00245
36250	n1982	0.0074
3865	n1982	0.00741
n2001	n2002	0.00012
n1998	n2001	0.00038
n1996	n1998	0.00011
17189	n1996	0.00996
n1995	n1996	0.00071
n1992	n1995	0.00381
n1983	n1992	0.00241
13362	n1983	0.00495
20524	n1983	0.00742
n1991	n1992	0.0014
12052	n1991	0.00014
n1990	n1991	0.00014
n1985	n1990	0.00137
5591	n1985	0.04232
n1984	n1985	0.00113
8686	n1984	0.0074
23590	n1984	0.0074
n1989	n1990	0.00015
17864	n1989	0.01797
n1988	n1989	0.00014
n1986	n1988	0.00327
38584	n1986	0.01181
28336	n1986	0.00273
n1987	n1988	0.00627
26036	n1987	0.0074
30565	n1987	0.00642
n1994	n1995	0.03081
31380	n1994	0.01533
n1993	n1994	0.00471
